Temperature,Humidity,Humex,CO2,Bright,lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche,Score,hour
23.1,47.0,24.9,577.0,2.0,0,0,0,0,0,1,0,4.0,18
23.0,48.0,24.9,755.0,1.0,0,0,0,0,0,1,0,5.0,19
23.0,49.0,25.1,776.0,1.0,0,0,0,0,0,1,0,4.0,20
22.8,49.0,24.8,780.0,1.0,0,0,0,0,0,1,0,3.0,21
22.8,49.0,24.8,769.0,1.0,0,0,0,0,0,1,0,5.0,22
22.7,49.0,24.7,770.0,1.0,0,0,0,0,0,1,0,4.0,23
22.6,49.0,24.5,739.0,1.0,0,0,0,0,0,0,1,4.0,0
22.5,49.0,24.4,713.0,1.0,0,0,0,0,0,0,1,4.0,1
22.4,49.0,24.2,657.0,1.0,0,0,0,0,0,0,1,4.0,2
22.3,49.0,24.1,619.0,1.0,0,0,0,0,0,0,1,4.0,3
22.2,49.0,23.9,751.0,1.0,0,0,0,0,0,0,1,4.0,4
22.1,49.0,23.8,793.0,1.0,0,0,0,0,0,0,1,4.0,5
22.0,48.0,23.5,765.0,1.0,0,0,0,0,0,0,1,4.0,6
21.9,48.0,23.3,778.0,1.0,0,0,0,0,0,0,1,4.0,7
21.8,47.0,23.1,677.0,2.0,0,0,0,0,0,0,1,4.0,8
21.8,49.0,23.4,690.0,6.0,0,0,0,0,0,0,1,3.0,9
22.0,44.0,22.9,409.0,8.0,0,0,0,0,0,0,1,4.0,10
21.5,46.0,22.5,426.0,7.0,0,0,0,0,0,0,1,4.0,11
21.3,45.0,22.1,403.0,7.0,0,0,0,0,0,0,1,4.0,12
21.4,45.0,22.2,403.0,2.0,0,0,0,0,0,0,1,5.0,13
21.5,45.0,22.3,441.0,2.0,0,0,0,0,0,0,1,4.0,14
21.8,46.0,22.9,554.0,3.0,0,0,0,0,0,0,1,4.0,15
22.3,48.0,23.9,1041.0,3.0,0,0,0,0,0,0,1,4.0,16
22.7,50.0,24.8,1061.0,2.0,0,0,0,0,0,0,1,4.0,17
23.2,53.0,26.0,1221.0,2.0,0,0,0,0,0,0,1,2.0,18
23.3,50.0,25.7,914.0,1.0,0,0,0,0,0,0,1,4.0,19
23.8,52.0,26.8,1219.0,1.0,0,0,0,0,0,0,1,3.0,20
23.7,50.0,26.3,710.0,1.0,0,0,0,0,0,0,1,3.0,21
23.4,49.0,25.7,703.0,1.0,0,0,0,0,0,0,1,4.0,22
23.3,49.0,25.5,671.0,1.0,0,0,0,0,0,0,1,4.0,23
23.2,49.0,25.4,641.0,1.0,1,0,0,0,0,0,0,4.0,0
23.1,49.0,25.2,636.0,1.0,1,0,0,0,0,0,0,4.0,1
23.0,49.0,25.1,611.0,1.0,1,0,0,0,0,0,0,4.0,2
23.0,49.0,25.1,586.0,1.0,1,0,0,0,0,0,0,4.0,3
22.8,49.0,24.8,575.0,1.0,1,0,0,0,0,0,0,5.0,4
22.7,49.0,24.7,568.0,1.0,1,0,0,0,0,0,0,4.0,5
22.6,49.0,24.5,554.0,1.0,1,0,0,0,0,0,0,4.0,6
22.5,49.0,24.4,549.0,1.0,1,0,0,0,0,0,0,4.0,7
22.5,49.0,24.4,579.0,1.0,1,0,0,0,0,0,0,4.0,8
22.5,51.0,24.7,963.0,3.0,1,0,0,0,0,0,0,4.0,9
23.6,52.0,26.5,973.0,2.0,1,0,0,0,0,0,0,3.0,10
24.5,51.0,27.7,975.0,2.0,1,0,0,0,0,0,0,4.0,11
25.1,50.0,28.4,945.0,2.0,1,0,0,0,0,0,0,2.0,12
25.4,49.0,28.7,873.0,1.0,1,0,0,0,0,0,0,3.0,13
25.1,49.0,28.2,787.0,1.0,1,0,0,0,0,0,0,3.0,14
25.0,50.0,28.3,982.0,1.0,1,0,0,0,0,0,0,3.0,15
25.1,52.0,28.8,1167.0,1.0,1,0,0,0,0,0,0,2.0,16
25.3,47.0,28.2,655.0,1.0,1,0,0,0,0,0,0,2.0,17
25.2,40.0,26.8,407.0,3.0,1,0,0,0,0,0,0,3.0,18
25.0,44.0,27.2,439.0,2.0,1,0,0,0,0,0,0,3.0,19
24.6,45.0,26.8,459.0,1.0,1,0,0,0,0,0,0,3.0,20
23.9,45.0,25.8,425.0,1.0,1,0,0,0,0,0,0,4.0,21
22.7,47.0,24.3,444.0,1.0,1,0,0,0,0,0,0,4.0,22
22.8,47.0,24.5,459.0,1.0,1,0,0,0,0,0,0,5.0,23
23.0,47.0,24.8,454.0,1.0,0,1,0,0,0,0,0,4.0,0
23.2,47.0,25.1,460.0,1.0,0,1,0,0,0,0,0,4.0,1
23.2,47.0,25.1,458.0,1.0,0,1,0,0,0,0,0,3.0,2
23.3,47.0,25.2,462.0,1.0,0,1,0,0,0,0,0,4.0,3
23.2,47.0,25.1,463.0,1.0,0,1,0,0,0,0,0,4.0,4
23.2,47.0,25.1,464.0,1.0,0,1,0,0,0,0,0,3.0,5
23.2,47.0,25.1,470.0,1.0,0,1,0,0,0,0,0,4.0,6
23.1,47.0,24.9,445.0,1.0,0,1,0,0,0,0,0,4.0,7
23.1,49.0,25.2,598.0,1.0,0,1,0,0,0,0,0,4.0,8
23.1,49.0,25.2,646.0,2.0,0,1,0,0,0,0,0,4.0,9
23.2,50.0,25.6,760.0,2.0,0,1,0,0,0,0,0,4.0,10
23.7,52.0,26.6,699.0,3.0,0,1,0,0,0,0,0,4.0,11
24.2,52.0,27.4,702.0,3.0,0,1,0,0,0,0,0,3.0,12
24.3,52.0,27.6,599.0,2.0,0,1,0,0,0,0,0,3.0,13
24.4,52.0,27.7,556.0,2.0,0,1,0,0,0,0,0,3.0,14
24.7,53.0,28.3,726.0,2.0,0,1,0,0,0,0,0,3.0,15
24.8,52.0,28.3,733.0,2.0,0,1,0,0,0,0,0,3.0,16
25.2,53.0,29.1,1175.0,2.0,0,1,0,0,0,0,0,1.0,17
25.7,55.0,30.3,1791.0,1.0,0,1,0,0,0,0,0,2.0,18
26.1,55.0,30.9,2168.0,1.0,0,1,0,0,0,0,0,1.0,19
25.9,52.0,30.1,524.0,1.0,0,1,0,0,0,0,0,2.0,20
25.9,53.0,30.2,622.0,1.0,0,1,0,0,0,0,0,2.0,21
25.6,53.0,29.8,560.0,1.0,0,1,0,0,0,0,0,2.0,22
25.3,53.0,29.3,543.0,1.0,0,1,0,0,0,0,0,2.0,23
25.2,53.0,29.1,528.0,1.0,0,0,1,0,0,0,0,2.0,0
25.0,53.0,28.8,539.0,1.0,0,0,1,0,0,0,0,4.0,1
24.8,53.0,28.5,573.0,1.0,0,0,1,0,0,0,0,3.0,2
24.7,53.0,28.3,599.0,1.0,0,0,1,0,0,0,0,3.0,3
24.6,53.0,28.2,641.0,1.0,0,0,1,0,0,0,0,3.0,4
24.5,53.0,28.0,613.0,1.0,0,0,1,0,0,0,0,3.0,5
24.4,53.0,27.9,602.0,1.0,0,0,1,0,0,0,0,3.0,6
24.3,53.0,27.7,605.0,1.0,0,0,1,0,0,0,0,3.0,7
24.2,52.0,27.4,490.0,2.0,0,0,1,0,0,0,0,3.0,8
23.9,51.0,26.8,495.0,2.0,0,0,1,0,0,0,0,3.0,9
23.7,50.0,26.3,473.0,219.0,0,0,1,0,0,0,0,3.0,10
24.3,48.0,26.9,501.0,45.0,0,0,1,0,0,0,0,3.0,11
24.6,48.0,27.3,467.0,69.0,0,0,1,0,0,0,0,3.0,12
24.8,47.0,27.4,494.0,18.0,0,0,1,0,0,0,0,3.0,13
25.0,49.0,28.1,617.0,25.0,0,0,1,0,0,0,0,3.0,14
25.0,49.0,28.1,554.0,31.0,0,0,1,0,0,0,0,3.0,15
25.1,47.0,27.9,698.0,38.0,0,0,1,0,0,0,0,2.0,16
25.4,47.0,28.3,902.0,58.0,0,0,1,0,0,0,0,3.0,17
24.1,40.0,25.2,477.0,16.0,0,0,1,0,0,0,0,2.0,18
23.5,40.0,24.4,412.0,3.0,0,0,1,0,0,0,0,4.0,19
23.1,44.0,24.5,454.0,1.0,0,0,1,0,0,0,0,4.0,20
23.4,49.0,25.7,562.0,1.0,0,0,1,0,0,0,0,5.0,21
23.6,47.0,25.7,521.0,1.0,0,0,1,0,0,0,0,4.0,22
23.6,47.0,25.7,531.0,1.0,0,0,1,0,0,0,0,4.0,23
23.6,47.0,25.7,599.0,1.0,0,0,0,1,0,0,0,3.0,0
23.6,47.0,25.7,604.0,1.0,0,0,0,1,0,0,0,4.0,1
23.6,47.0,25.7,603.0,1.0,0,0,0,1,0,0,0,4.0,2
23.5,47.0,25.5,611.0,1.0,0,0,0,1,0,0,0,4.0,3
23.5,47.0,25.5,620.0,1.0,0,0,0,1,0,0,0,4.0,4
23.4,47.0,25.4,619.0,1.0,0,0,0,1,0,0,0,4.0,5
23.3,47.0,25.2,615.0,1.0,0,0,0,1,0,0,0,5.0,6
23.3,47.0,25.2,613.0,1.0,0,0,0,1,0,0,0,4.0,7
23.3,47.0,25.2,622.0,21.0,0,0,0,1,0,0,0,4.0,8
23.3,46.0,25.1,578.0,149.0,0,0,0,1,0,0,0,5.0,9
22.4,45.0,23.6,459.0,266.0,0,0,0,1,0,0,0,5.0,10
22.6,45.0,23.9,527.0,9.0,0,0,0,1,0,0,0,4.0,11
23.6,45.0,25.3,761.0,45.0,0,0,0,1,0,0,0,4.0,12
23.9,44.0,25.6,697.0,26.0,0,0,0,1,0,0,0,4.0,13
23.9,44.0,25.6,617.0,2.0,0,0,0,1,0,0,0,4.0,14
23.8,44.0,25.5,553.0,2.0,0,0,0,1,0,0,0,4.0,15
23.7,44.0,25.3,498.0,1.0,0,0,0,1,0,0,0,4.0,16
23.7,44.0,25.3,511.0,74.0,0,0,0,1,0,0,0,4.0,17
25.5,42.0,27.6,806.0,57.0,0,0,0,1,0,0,0,3.0,18
28.3,41.0,31.6,764.0,12.0,0,0,0,1,0,0,0,2.0,19
27.9,36.0,29.9,773.0,9.0,0,0,0,1,0,0,0,3.0,19
26.7,41.0,29.2,546.0,1.0,0,0,0,1,0,0,0,3.0,20
26.1,48.0,29.6,912.0,1.0,0,0,0,1,0,0,0,4.0,20
26.3,51.0,30.5,1043.0,1.0,0,0,0,1,0,0,0,2.0,21
28.1,45.0,32.1,1092.0,1.0,0,0,0,1,0,0,0,1.0,21
27.8,44.0,31.4,1145.0,1.0,0,0,0,1,0,0,0,1.0,22
27.2,44.0,30.5,1224.0,1.0,0,0,0,1,0,0,0,2.0,22
26.5,45.0,29.6,1198.0,1.0,0,0,0,1,0,0,0,2.0,23
26.0,45.0,28.9,1121.0,1.0,0,0,0,1,0,0,0,2.0,23
25.5,46.0,28.3,1097.0,1.0,0,0,0,0,1,0,0,3.0,0
25.1,46.0,27.7,1081.0,1.0,0,0,0,0,1,0,0,2.0,0
24.8,47.0,27.4,1096.0,1.0,0,0,0,0,1,0,0,2.0,1
24.5,47.0,27.0,1123.0,1.0,0,0,0,0,1,0,0,2.0,1
24.2,48.0,26.7,1091.0,1.0,0,0,0,0,1,0,0,2.0,2
24.1,48.0,26.6,1071.0,1.0,0,0,0,0,1,0,0,2.0,2
23.8,48.0,26.1,1068.0,1.0,0,0,0,0,1,0,0,3.0,3
23.7,48.0,26.0,1069.0,1.0,0,0,0,0,1,0,0,3.0,3
23.6,49.0,26.0,1047.0,1.0,0,0,0,0,1,0,0,2.0,4
23.4,49.0,25.7,1048.0,1.0,0,0,0,0,1,0,0,3.0,4
23.3,49.0,25.5,1068.0,1.0,0,0,0,0,1,0,0,3.0,5
23.2,50.0,25.6,1104.0,1.0,0,0,0,0,1,0,0,3.0,5
23.1,50.0,25.4,1119.0,1.0,0,0,0,0,1,0,0,3.0,6
23.0,50.0,25.3,1143.0,1.0,0,0,0,0,1,0,0,3.0,6
23.0,50.0,25.3,1158.0,1.0,0,0,0,0,1,0,0,2.0,7
22.9,51.0,25.3,1313.0,1.0,0,0,0,0,1,0,0,3.0,7
22.9,53.0,25.6,1386.0,2.0,0,0,0,0,1,0,0,3.0,8
22.8,54.0,25.6,1494.0,1.0,0,0,0,0,1,0,0,3.0,8
22.3,50.0,24.2,624.0,1.0,0,0,0,0,1,0,0,5.0,9
21.5,46.0,22.5,560.0,1.0,0,0,0,0,1,0,0,3.0,9
22.6,50.0,24.7,806.0,540.0,0,0,0,0,1,0,0,4.0,10
22.8,48.0,24.6,832.0,410.0,0,0,0,0,1,0,0,3.0,10
23.1,47.0,24.9,834.0,616.0,0,0,0,0,1,0,0,4.0,11
23.2,46.0,24.9,795.0,371.0,0,0,0,0,1,0,0,5.0,11
23.5,44.0,25.0,845.0,565.0,0,0,0,0,1,0,0,4.0,12
23.9,43.0,25.4,733.0,445.0,0,0,0,0,1,0,0,4.0,12
24.0,42.0,25.4,789.0,314.0,0,0,0,0,1,0,0,4.0,13
24.2,41.0,25.5,704.0,313.0,0,0,0,0,1,0,0,3.0,13
24.6,40.0,25.9,786.0,353.0,0,0,0,0,1,0,0,3.0,14
25.0,39.0,26.3,770.0,398.0,0,0,0,0,1,0,0,3.0,14
25.1,38.0,26.3,671.0,396.0,0,0,0,0,1,0,0,3.0,15
25.3,38.0,26.6,693.0,399.0,0,0,0,0,1,0,0,4.0,15
25.7,37.0,26.9,645.0,279.0,0,0,0,0,1,0,0,4.0,16
25.4,38.0,26.7,749.0,254.0,0,0,0,0,1,0,0,3.0,17
25.1,39.0,26.5,763.0,113.0,0,0,0,0,1,0,0,3.0,17
24.9,39.0,26.2,780.0,78.0,0,0,0,0,1,0,0,3.0,18
24.7,40.0,26.1,735.0,44.0,0,0,0,0,1,0,0,3.0,18
24.4,40.0,25.6,682.0,22.0,0,0,0,0,1,0,0,3.0,19
24.2,41.0,25.5,639.0,5.0,0,0,0,0,1,0,0,3.0,19
24.0,41.0,25.2,591.0,1.0,0,0,0,0,1,0,0,2.0,20
23.8,42.0,25.1,535.0,1.0,0,0,0,0,1,0,0,4.0,20
23.6,42.0,24.8,485.0,1.0,0,0,0,0,1,0,0,4.0,21
23.4,42.0,24.6,454.0,1.0,0,0,0,0,1,0,0,5.0,22
23.4,43.0,24.7,449.0,1.0,0,0,0,0,1,0,0,4.0,22
23.3,43.0,24.6,442.0,1.0,0,0,0,0,1,0,0,4.0,23
23.2,43.0,24.4,432.0,1.0,0,0,0,0,1,0,0,4.0,23
23.1,44.0,24.5,421.0,1.0,0,0,0,0,0,1,0,4.0,0
23.1,44.0,24.5,429.0,1.0,0,0,0,0,0,1,0,4.0,0
23.0,44.0,24.3,423.0,1.0,0,0,0,0,0,1,0,4.0,1
23.0,44.0,24.3,418.0,1.0,0,0,0,0,0,1,0,4.0,1
22.9,44.0,24.2,408.0,1.0,0,0,0,0,0,1,0,4.0,2
22.9,44.0,24.2,405.0,1.0,0,0,0,0,0,1,0,5.0,2
22.8,44.0,24.0,408.0,1.0,0,0,0,0,0,1,0,3.0,3
22.8,44.0,24.0,416.0,1.0,0,0,0,0,0,1,0,4.0,3
22.8,43.0,23.9,404.0,1.0,0,0,0,0,0,1,0,5.0,4
22.8,43.0,23.9,395.0,1.0,0,0,0,0,0,1,0,4.0,4
22.8,43.0,23.9,397.0,1.0,0,0,0,0,0,1,0,4.0,5
22.8,43.0,23.9,390.0,1.0,0,0,0,0,0,1,0,4.0,5
22.8,43.0,23.9,397.0,1.0,0,0,0,0,0,1,0,5.0,6
22.8,43.0,23.9,401.0,1.0,0,0,0,0,0,1,0,4.0,6
22.7,43.0,23.7,400.0,1.0,0,0,0,0,0,1,0,5.0,7
22.8,44.0,24.0,391.0,1.0,0,0,0,0,0,1,0,4.0,7
22.7,44.0,23.9,398.0,2.0,0,0,0,0,0,1,0,4.0,8
22.7,45.0,24.0,396.0,9.0,0,0,0,0,0,1,0,3.0,8
22.7,46.0,24.2,401.0,9.0,0,0,0,0,0,1,0,4.0,9
22.7,48.0,24.5,396.0,12.0,0,0,0,0,0,1,0,4.0,9
22.7,49.0,24.7,392.0,25.0,0,0,0,0,0,1,0,4.0,10
22.6,50.0,24.7,407.0,17.0,0,0,0,0,0,1,0,4.0,10
22.6,50.0,24.7,398.0,27.0,0,0,0,0,0,1,0,4.0,11
22.6,51.0,24.8,382.0,30.0,0,0,0,0,0,1,0,4.0,11
22.5,51.0,24.7,394.0,44.0,0,0,0,0,0,1,0,3.0,12
22.5,51.0,24.7,395.0,50.0,0,0,0,0,0,1,0,4.0,12
22.6,52.0,25.0,382.0,57.0,0,0,0,0,0,1,0,4.0,13
22.5,52.0,24.8,395.0,51.0,0,0,0,0,0,1,0,4.0,13
22.6,51.0,24.8,399.0,73.0,0,0,0,0,0,1,0,4.0,14
22.6,51.0,24.8,394.0,99.0,0,0,0,0,0,1,0,4.0,14
22.6,51.0,24.8,398.0,140.0,0,0,0,0,0,1,0,4.0,15
22.7,51.0,25.0,391.0,212.0,0,0,0,0,0,1,0,4.0,15
22.8,50.0,25.0,390.0,356.0,0,0,0,0,0,1,0,4.0,16
23.1,49.0,25.2,397.0,89.0,0,0,0,0,0,1,0,4.0,16
23.1,49.0,25.2,394.0,70.0,0,0,0,0,0,1,0,4.0,17
22.9,49.0,25.0,399.0,58.0,0,0,0,0,0,1,0,3.0,17
22.9,48.0,24.8,390.0,179.0,0,0,0,0,0,1,0,5.0,18
22.9,48.0,24.8,384.0,81.0,0,0,0,0,0,1,0,4.0,18
22.9,48.0,24.8,396.0,21.0,0,0,0,0,0,1,0,4.0,19
22.8,48.0,24.6,382.0,2.0,0,0,0,0,0,1,0,5.0,19
22.7,48.0,24.5,391.0,1.0,0,0,0,0,0,1,0,5.0,20
22.6,48.0,24.4,380.0,1.0,0,0,0,0,0,1,0,4.0,20
22.4,48.0,24.1,387.0,1.0,0,0,0,0,0,1,0,5.0,21
22.3,49.0,24.1,393.0,1.0,0,0,0,0,0,1,0,4.0,21
22.3,49.0,24.1,395.0,1.0,0,0,0,0,0,1,0,4.0,22
22.2,49.0,23.9,382.0,1.0,0,0,0,0,0,1,0,4.0,22
22.2,49.0,23.9,398.0,1.0,0,0,0,0,0,1,0,3.0,23
22.1,49.0,23.8,389.0,1.0,0,0,0,0,0,1,0,4.0,23
22.1,49.0,23.8,382.0,1.0,0,0,0,0,0,0,1,3.0,0
22.0,49.0,23.6,390.0,1.0,0,0,0,0,0,0,1,5.0,0
22.0,49.0,23.6,390.0,1.0,0,0,0,0,0,0,1,4.0,1
22.0,49.0,23.6,410.0,1.0,0,0,0,0,0,0,1,4.0,1
22.0,49.0,23.6,392.0,1.0,0,0,0,0,0,0,1,3.0,2
22.0,49.0,23.6,399.0,1.0,0,0,0,0,0,0,1,4.0,2
21.9,49.0,23.5,401.0,1.0,0,0,0,0,0,0,1,5.0,3
21.9,48.0,23.3,406.0,1.0,0,0,0,0,0,0,1,4.0,3
21.9,48.0,23.3,402.0,1.0,0,0,0,0,0,0,1,4.0,4
21.8,48.0,23.2,389.0,1.0,0,0,0,0,0,0,1,4.0,4
21.8,48.0,23.2,395.0,1.0,0,0,0,0,0,0,1,4.0,5
21.8,48.0,23.2,391.0,1.0,0,0,0,0,0,0,1,3.0,5
21.7,48.0,23.1,387.0,1.0,0,0,0,0,0,0,1,3.0,6
21.7,48.0,23.1,392.0,1.0,0,0,0,0,0,0,1,4.0,6
21.7,48.0,23.1,393.0,1.0,0,0,0,0,0,0,1,4.0,7
21.7,48.0,23.1,389.0,5.0,0,0,0,0,0,0,1,4.0,7
21.6,48.0,22.9,413.0,25.0,0,0,0,0,0,0,1,3.0,8
21.6,48.0,22.9,392.0,51.0,0,0,0,0,0,0,1,3.0,8
21.7,48.0,23.1,404.0,171.0,0,0,0,0,0,0,1,3.0,9
21.8,48.0,23.2,404.0,367.0,0,0,0,0,0,0,1,4.0,9
21.9,47.0,23.2,399.0,447.0,0,0,0,0,0,0,1,4.0,10
22.1,47.0,23.5,384.0,776.0,0,0,0,0,0,0,1,3.0,10
22.4,46.0,23.8,397.0,882.0,0,0,0,0,0,0,1,5.0,11
22.5,46.0,23.9,392.0,739.0,0,0,0,0,0,0,1,4.0,11
22.6,45.0,23.9,385.0,591.0,0,0,0,0,0,0,1,5.0,12
22.5,45.0,23.8,378.0,441.0,0,0,0,0,0,0,1,4.0,12
22.6,44.0,23.7,384.0,360.0,0,0,0,0,0,0,1,3.0,13
22.5,44.0,23.6,395.0,246.0,0,0,0,0,0,0,1,4.0,13
22.6,44.0,23.7,395.0,237.0,0,0,0,0,0,0,1,4.0,14
22.7,44.0,23.9,377.0,314.0,0,0,0,0,0,0,1,4.0,14
22.8,43.0,23.9,379.0,194.0,0,0,0,0,0,0,1,4.0,15
22.8,43.0,23.9,388.0,389.0,0,0,0,0,0,0,1,4.0,15
23.2,43.0,24.4,392.0,61.0,0,0,0,0,0,0,1,4.0,16
23.1,42.0,24.1,391.0,58.0,0,0,0,0,0,0,1,5.0,16
23.0,42.0,24.0,378.0,144.0,0,0,0,0,0,0,1,4.0,17
22.8,42.0,23.7,378.0,34.0,0,0,0,0,0,0,1,4.0,17
22.7,42.0,23.6,388.0,33.0,0,0,0,0,0,0,1,4.0,18
22.7,42.0,23.6,391.0,65.0,0,0,0,0,0,0,1,5.0,18
22.6,42.0,23.4,391.0,13.0,0,0,0,0,0,0,1,4.0,19
22.5,42.0,23.3,389.0,10.0,0,0,0,0,0,0,1,4.0,19
22.4,42.0,23.2,378.0,2.0,0,0,0,0,0,0,1,4.0,20
22.3,42.0,23.0,387.0,1.0,0,0,0,0,0,0,1,4.0,20
22.3,42.0,23.0,401.0,1.0,0,0,0,0,0,0,1,4.0,21
22.2,43.0,23.0,387.0,1.0,0,0,0,0,0,0,1,4.0,21
22.1,43.0,22.9,382.0,1.0,0,0,0,0,0,0,1,4.0,22
22.0,43.0,22.7,396.0,1.0,0,0,0,0,0,0,1,4.0,22
22.0,43.0,22.7,406.0,1.0,0,0,0,0,0,0,1,4.0,23
21.9,43.0,22.6,401.0,1.0,0,0,0,0,0,0,1,4.0,23
21.9,44.0,22.8,405.0,1.0,1,0,0,0,0,0,0,5.0,0
21.8,44.0,22.6,411.0,1.0,1,0,0,0,0,0,0,4.0,0
21.8,44.0,22.6,400.0,1.0,1,0,0,0,0,0,0,4.0,1
21.8,44.0,22.6,402.0,1.0,1,0,0,0,0,0,0,5.0,1
21.7,44.0,22.5,414.0,1.0,1,0,0,0,0,0,0,4.0,2
21.6,44.0,22.3,398.0,1.0,1,0,0,0,0,0,0,4.0,2
21.6,44.0,22.3,400.0,1.0,1,0,0,0,0,0,0,4.0,3
21.6,45.0,22.5,404.0,1.0,1,0,0,0,0,0,0,4.0,3
21.6,44.0,22.3,405.0,1.0,1,0,0,0,0,0,0,4.0,4
21.6,44.0,22.3,409.0,1.0,1,0,0,0,0,0,0,4.0,4
21.5,44.0,22.2,406.0,1.0,1,0,0,0,0,0,0,3.0,5
21.5,44.0,22.2,405.0,1.0,1,0,0,0,0,0,0,4.0,5
21.5,44.0,22.2,396.0,1.0,1,0,0,0,0,0,0,4.0,6
21.4,44.0,22.1,392.0,1.0,1,0,0,0,0,0,0,4.0,6
21.5,44.0,22.2,408.0,8.0,1,0,0,0,0,0,0,4.0,7
21.5,44.0,22.2,443.0,17.0,1,0,0,0,0,0,0,5.0,7
21.6,45.0,22.5,469.0,48.0,1,0,0,0,0,0,0,4.0,8
21.7,45.0,22.6,524.0,74.0,1,0,0,0,0,0,0,4.0,8
21.9,45.0,22.9,634.0,128.0,1,0,0,0,0,0,0,4.0,9
22.1,46.0,23.3,743.0,79.0,1,0,0,0,0,0,0,4.0,9
22.3,46.0,23.6,830.0,126.0,1,0,0,0,0,0,0,5.0,10
22.6,46.0,24.1,907.0,874.0,1,0,0,0,0,0,0,4.0,10
23.0,45.0,24.5,934.0,381.0,1,0,0,0,0,0,0,4.0,11
23.1,45.0,24.6,918.0,253.0,1,0,0,0,0,0,0,4.0,11
23.2,45.0,24.8,930.0,251.0,1,0,0,0,0,0,0,3.0,12
23.4,44.0,24.9,935.0,183.0,1,0,0,0,0,0,0,4.0,13
23.3,44.0,24.7,934.0,253.0,1,0,0,0,0,0,0,5.0,13
23.4,43.0,24.7,880.0,222.0,1,0,0,0,0,0,0,4.0,14
23.7,43.0,25.1,947.0,162.0,1,0,0,0,0,0,0,4.0,14
23.9,43.0,25.4,1025.0,300.0,1,0,0,0,0,0,0,3.0,15
